Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)","Free Meal Count (K-12)","Percent (%) Eligible Free (K-12)","FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2013-14 CALPADS Fall 1 Certification Status"
2014-2015,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,85,63,74.1%,65,76.5%,77,56,72.7%,58,75.3%,Y
2014-2015,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,957,286,29.9%,344,35.9%,957,286,29.9%,344,35.9%,Y
2014-2015,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,561,257,45.8%,285,50.8%,561,257,45.8%,285,50.8%,Y
2014-2015,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,446,128,28.7%,145,32.5%,446,128,28.7%,145,32.5%,Y
2014-2015,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,441,151,34.2%,177,40.1%,441,151,34.2%,177,40.1%,Y
2014-2015,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,295,82,27.8%,104,35.3%,295,82,27.8%,104,35.3%,Y
2014-2015,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,392,113,28.8%,126,32.1%,379,106,28%,119,31.4%,Y
2014-2015,1,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,347,162,46.7%,177,51%,339,158,46.6%,172,50.7%,Y
2014-2015,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,567,151,26.6%,174,30.7%,549,143,26%,165,30.1%,Y
2014-2015,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,510,224,43.9%,261,51.2%,510,224,43.9%,261,51.2%,Y
2014-2015,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,302,94,31.1%,117,38.7%,302,94,31.1%,117,38.7%,Y
2014-2015,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,452,160,35.4%,197,43.6%,451,160,35.5%,197,43.7%,Y
2014-2015,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,468,148,31.6%,170,36.3%,459,144,31.4%,166,36.2%,Y
2014-2015,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,445,139,31.2%,161,36.2%,432,135,31.3%,157,36.3%,Y
2014-2015,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,289,124,42.9%,141,48.8%,279,122,43.7%,139,49.8%,Y
2014-2015,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,19,3,15.8%,4,21.1%,16,3,18.8%,4,25%,Y
2014-2015,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,9,12,28,3,10.7%,3,10.7%,1,0,0%,0,0%,Y
2014-2015,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2977,382,12.8%,508,17.1%,2921,369,12.6%,494,16.9%,Y
2014-2015,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,129,34,26.4%,41,31.8%,115,31,27%,37,32.2%,Y
2014-2015,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,493,146,29.6%,182,36.9%,465,140,30.1%,175,37.6%,Y
2014-2015,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,451,50,11.1%,65,14.4%,451,50,11.1%,65,14.4%,Y
2014-2015,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,788,87,11%,129,16.4%,788,87,11%,129,16.4%,Y
2014-2015,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,625,45,7.2%,66,10.6%,594,42,7.1%,62,10.4%,Y
2014-2015,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,450,112,24.9%,142,31.6%,450,112,24.9%,142,31.6%,Y
2014-2015,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,142,11,7.7%,14,9.9%,142,11,7.7%,14,9.9%,Y
2014-2015,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,532,52,9.8%,76,14.3%,532,52,9.8%,76,14.3%,Y
2014-2015,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,461,80,17.4%,117,25.4%,447,77,17.2%,114,25.5%,Y
2014-2015,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,415,40,9.6%,50,12%,415,40,9.6%,50,12%,Y
2014-2015,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,1400,233,16.6%,333,23.8%,1400,233,16.6%,333,23.8%,Y
2014-2015,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,451,11,2.4%,17,3.8%,451,11,2.4%,17,3.8%,Y
2014-2015,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,191,113,59.2%,130,68.1%,185,109,58.9%,126,68.1%,Y
2014-2015,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,504,335,66.5%,368,73%,492,327,66.5%,358,72.8%,Y
2014-2015,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,46,8,17.4%,8,17.4%,38,8,21.1%,8,21.1%,Y
2014-2015,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,9,12,25,1,4%,1,4%,0,0,0%,0,0%,Y
2014-2015,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1985,303,15.3%,368,18.5%,1938,288,14.9%,351,18.1%,Y
2014-2015,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,207,73,35.3%,90,43.5%,167,59,35.3%,76,45.5%,Y
2014-2015,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,7,12,52,8,15.4%,9,17.3%,46,7,15.2%,8,17.4%,Y
2014-2015,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,,Y,152,Locally funded,N,K,12,247,23,9.3%,23,9.3%,237,22,9.3%,22,9.3%,Y
2014-2015,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2248,221,9.8%,288,12.8%,2216,217,9.8%,282,12.7%,Y
2014-2015,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1436,362,25.2%,452,31.5%,1391,351,25.2%,440,31.6%,Y
2014-2015,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2129,60,2.8%,72,3.4%,2108,58,2.8%,69,3.3%,Y
2014-2015,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1833,318,17.3%,388,21.2%,1785,304,17%,372,20.8%,Y
2014-2015,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,440,171,38.9%,219,49.8%,425,166,39.1%,214,50.4%,Y
2014-2015,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,748,273,36.5%,321,42.9%,715,272,38%,320,44.8%,Y
2014-2015,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,386,178,46.1%,215,55.7%,386,178,46.1%,215,55.7%,Y
2014-2015,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,377,182,48.3%,227,60.2%,377,182,48.3%,227,60.2%,Y
2014-2015,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,656,193,29.4%,224,34.1%,656,193,29.4%,224,34.1%,Y
2014-2015,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,479,103,21.5%,123,25.7%,462,99,21.4%,119,25.8%,Y
2014-2015,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,513,165,32.2%,209,40.7%,479,159,33.2%,203,42.4%,Y
2014-2015,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,3,1075,29,2.7%,34,3.2%,1075,29,2.7%,34,3.2%,Y
2014-2015,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,589,97,16.5%,136,23.1%,587,97,16.5%,136,23.2%,Y
2014-2015,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,596,144,24.2%,161,27%,579,141,24.4%,157,27.1%,Y
2014-2015,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,625,78,12.5%,89,14.2%,625,78,12.5%,89,14.2%,Y
2014-2015,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,645,33,5.1%,43,6.7%,645,33,5.1%,43,6.7%,Y
2014-2015,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,606,40,6.6%,57,9.4%,606,40,6.6%,57,9.4%,Y
2014-2015,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,540,108,20%,123,22.8%,538,107,19.9%,122,22.7%,Y
2014-2015,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,919,54,5.9%,68,7.4%,888,53,6%,67,7.5%,Y
2014-2015,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,619,123,19.9%,170,27.5%,619,123,19.9%,170,27.5%,Y
2014-2015,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,552,129,23.4%,144,26.1%,537,127,23.6%,142,26.4%,Y
2014-2015,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,3,6,871,21,2.4%,29,3.3%,871,21,2.4%,29,3.3%,Y
2014-2015,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,967,225,23.3%,265,27.4%,967,225,23.3%,265,27.4%,Y
2014-2015,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,725,227,31.3%,282,38.9%,725,227,31.3%,282,38.9%,Y
2014-2015,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,1030,127,12.3%,158,15.3%,1030,127,12.3%,158,15.3%,Y
2014-2015,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,1156,154,13.3%,200,17.3%,1156,154,13.3%,200,17.3%,Y
2014-2015,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,990,23,2.3%,30,3%,990,23,2.3%,30,3%,Y
2014-2015,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,778,16,2.1%,17,2.2%,752,16,2.1%,17,2.3%,Y
2014-2015,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,658,49,7.4%,60,9.1%,586,45,7.7%,55,9.4%,Y
2014-2015,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,862,132,15.3%,160,18.6%,862,132,15.3%,160,18.6%,Y
2014-2015,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,833,35,4.2%,44,5.3%,833,35,4.2%,44,5.3%,Y
2014-2015,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,624,12,1.9%,13,2.1%,611,10,1.6%,11,1.8%,Y
2014-2015,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,695,102,14.7%,131,18.8%,695,102,14.7%,131,18.8%,Y
2014-2015,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,600,109,18.2%,138,23%,595,109,18.3%,138,23.2%,Y
2014-2015,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,965,54,5.6%,71,7.4%,948,54,5.7%,71,7.5%,Y
2014-2015,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,853,30,3.5%,36,4.2%,821,29,3.5%,35,4.3%,Y
2014-2015,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,1028,30,2.9%,40,3.9%,1028,30,2.9%,40,3.9%,Y
2014-2015,1,61192,1,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,89,25,28.1%,25,28.1%,69,25,36.2%,25,36.2%,Y
2014-2015,1,61192,108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Y,684,Directly funded,Y,9,12,507,241,47.5%,331,65.3%,492,232,47.2%,319,64.8%,Y
2014-2015,1,61192,111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,717,324,45.2%,376,52.4%,717,324,45.2%,376,52.4%,Y
